"wbs";"id";"name";"rate";"efficiency";"cost";"assigned_tasks";"unallocated_work_time";"unallocated_work_capacity";"criticalness";"full_time_equivalent";"managers"
"1";"ali";"علی";"45,00";1.0;"0,00";"بتن‌ریزی (project.phase1.concrete), فونداسیون (project.phase1), پروژه ساخت‌وساز (تراز تیمی) (project)";16.0;50.0;0.05952380952380952;0.9;""
"2";"civil";"تیم عمران";"0,00";1.0;"0,00";"عملیات خاک‌برداری (project.phase1.excavation), نصب میلگرد (project.phase1.rebar), قالب‌بندی و اجرای ستون‌ها (project.phase2.columns), فونداسیون (project.phase1), پروژه ساخت‌وساز (تراز تیمی) (project), سازه (project.phase2)";12.0;38.8;0.42592592592592593;1.1;""
"3";"elec";"تیم برق";"0,00";1.0;"0,00";"اجرای سیم‌کشی (project.phase3.wiring), بازرسی نهایی (project.phase4.inspection), برق‌کشی (project.phase3), پروژه ساخت‌وساز (تراز تیمی) (project), نقاشی و پایان‌کار (project.phase4)";18.0;55.0;0.18518518518518517;1.1;""
"4";"fatemeh";"فاطمه";"42,00";1.0;"0,00";"عملیات نقاشی (project.phase4.painting), نقاشی و پایان‌کار (project.phase4), پروژه ساخت‌وساز (تراز تیمی) (project)";20.0;60.0;0.1111111111111111;1.1;""
"5";"hossein";"حسین";"48,00";1.0;"0,00";"";22.0;67.5;0.0;1.1;""
"6";"mech";"تیم مکانیک";"0,00";1.0;"0,00";"نصب تجهیزات مکانیکی (project.phase2.mech_fixture), بازرسی نهایی (project.phase4.inspection), سازه (project.phase2), پروژه ساخت‌وساز (تراز تیمی) (project), نقاشی و پایان‌کار (project.phase4)";22.0;66.0;0.18518518518518517;1.4;""
"7";"mohsen";"محسن";"38,00";0.8;"0,00";"";17.0;42.0;0.0;0.7;""
"8";"narges";"نرگس";"46,00";1.0;"0,00";"نصب تابلو برق (project.phase3.panel), برق‌کشی (project.phase3), پروژه ساخت‌وساز (تراز تیمی) (project)";21.0;65.6;0.037037037037037035;1.1;""
"9";"parsa";"پارسا";"44,00";1.0;"0,00";"نصب تابلو برق (project.phase3.panel), برق‌کشی (project.phase3), پروژه ساخت‌وساز (تراز تیمی) (project)";25.0;76.4;0.031446540880503145;1.3;""
"10";"reza";"رضا";"40,00";0.9;"0,00";"بتن‌ریزی (project.phase1.concrete), فونداسیون (project.phase1), پروژه ساخت‌وساز (تراز تیمی) (project)";25.0;69.1;0.038580246913580245;1.2;""
